ResponseID,ParticipantID,AssessmentID,CompetencyID,Score,ResponseDate
440,P4130,A001,C002,2,2024-12-31
441,P5410,A003,C010,3,2024-12-31
442,P3169,A001,C003,2,2024-12-31
443,P1682,A003,C002,4,2024-12-31
444,P1955,A002,C005,3,2024-12-31
445,P10539,A004,C005,1,2024-12-31
446,P6720,A001,C010,5,2024-12-31
447,P2792,A003,C006,5,2024-12-31
448,P5447,A005,C010,5,2024-12-31
449,P3330,A005,C002,1,2024-12-31
450,P8150,A001,C010,4,2024-12-31
451,P4051,A005,C007,4,2024-12-31
452,P5765,A002,C002,4,2024-12-31
453,P4302,A004,C001,4,2024-12-31
454,P6387,A001,C010,4,2024-12-31
455,P1907,A005,C001,5,2024-12-31
456,P1341,A005,C002,1,2024-12-31
457,P1075,A001,C010,1,2024-12-31
458,P4684,A003,C009,2,2024-12-31
459,P3047,A004,C002,3,2024-12-31
460,P7331,A003,C007,2,2024-12-31
461,P2888,A004,C002,5,2024-12-31
462,P10496,A004,C008,3,2024-12-31
463,P5105,A001,C004,3,2024-12-31
464,P3541,A001,C009,3,2024-12-31
465,P10569,A005,C005,2,2024-12-31
466,P6446,A003,C007,5,2024-12-31
467,P10340,A002,C002,1,2024-12-31
468,P1032,A001,C005,4,2024-12-31
469,P4809,A001,C002,3,2024-12-31
470,P8383,A003,C002,5,2024-12-31
471,P5604,A005,C008,1,2024-12-31
472,P6693,A003,C008,2,2024-12-31
473,P4806,A002,C002,3,2024-12-31
474,P2217,A001,C003,2,2024-12-31
475,P5654,A003,C004,1,2024-12-31
476,P9915,A003,C009,4,2024-12-31
477,P8459,A004,C005,1,2024-12-31
478,P9773,A001,C004,2,2024-12-31
479,P8319,A004,C009,2,2024-12-31
480,P10783,A003,C001,4,2024-12-31
481,P10967,A002,C008,4,2024-12-31
482,P2118,A003,C004,2,2024-12-31
483,P4103,A004,C008,1,2024-12-31
484,P9634,A005,C002,3,2024-12-31
485,P10980,A003,C001,3,2024-12-31
486,P5266,A002,C007,3,2024-12-31
487,P4886,A005,C003,5,2024-12-31
488,P9888,A002,C003,5,2024-12-31
489,P4391,A003,C005,1,2024-12-31
490,P1110,A001,C003,5,2024-12-31
491,P4500,A003,C008,1,2024-12-31
492,P5997,A004,C001,1,2024-12-31
493,P9500,A004,C010,3,2024-12-31
494,P5266,A003,C004,1,2024-12-31
495,P3488,A002,C008,2,2024-12-31
496,P9107,A002,C007,5,2024-12-31
497,P5876,A005,C006,4,2024-12-31
498,P7184,A001,C005,1,2024-12-31
499,P3491,A004,C007,2,2024-12-31
500,P9530,A003,C003,4,2024-12-31
501,P2634,A002,C004,1,2024-12-31
502,P9508,A001,C010,4,2024-12-31
503,P3484,A003,C007,5,2024-12-31
504,P2863,A002,C009,5,2024-12-31
505,P5574,A004,C004,2,2024-12-31
506,P9421,A004,C003,2,2024-12-31
507,P9677,A002,C007,5,2024-12-31
508,P5640,A001,C010,4,2024-12-31
509,P10358,A004,C003,2,2024-12-31
510,P4964,A002,C004,4,2024-12-31
511,P3473,A003,C005,2,2024-12-31
512,P7310,A004,C005,1,2024-12-31
513,P10466,A003,C007,2,2024-12-31
514,P4568,A003,C004,4,2024-12-31
515,P10431,A002,C002,3,2024-12-31
516,P4821,A002,C008,3,2024-12-31
517,P7870,A001,C002,4,2024-12-31
518,P2429,A005,C006,4,2024-12-31
519,P3870,A003,C009,1,2024-12-31
520,P8208,A005,C005,2,2024-12-31
521,P6550,A005,C006,4,2024-12-31
522,P1966,A002,C005,1,2024-12-31
523,P6161,A001,C006,2,2024-12-31
524,P10400,A003,C002,3,2024-12-31
525,P2922,A001,C008,5,2024-12-31
526,P8092,A005,C004,1,2024-12-31
527,P4143,A005,C003,4,2024-12-31
528,P6965,A003,C010,4,2024-12-31
529,P10490,A005,C008,1,2024-12-31
530,P8847,A004,C009,1,2024-12-31
531,P10494,A004,C009,1,2024-12-31
532,P9048,A005,C004,5,2024-12-31
533,P4518,A003,C009,1,2024-12-31
534,P8296,A002,C001,5,2024-12-31
535,P8982,A001,C008,4,2024-12-31
536,P7348,A004,C008,2,2024-12-31
537,P7109,A001,C008,2,2024-12-31
538,P1479,A004,C004,5,2024-12-31
539,P10703,A004,C008,4,2024-12-31
540,P4987,A004,C010,5,2024-12-31
541,P5786,A004,C001,3,2024-12-31
542,P10566,A004,C001,1,2024-12-31
543,P3263,A004,C006,2,2024-12-31
544,P4680,A005,C010,5,2024-12-31
545,P2344,A001,C009,3,2024-12-31
546,P3468,A002,C010,3,2024-12-31
547,P7958,A002,C006,4,2024-12-31
548,P3460,A003,C001,1,2024-12-31
549,P3569,A004,C003,4,2024-12-31
550,P7977,A005,C003,5,2024-12-31
551,P1004,A003,C003,3,2024-12-31
552,P3213,A001,C002,2,2024-12-31
553,P3529,A001,C007,4,2024-12-31
554,P1031,A005,C003,4,2024-12-31
555,P3762,A004,C003,3,2024-12-31
556,P1605,A001,C006,5,2024-12-31
557,P4228,A004,C009,1,2024-12-31
558,P9015,A002,C004,2,2024-12-31
559,P1615,A001,C010,3,2024-12-31
560,P5824,A005,C003,2,2024-12-31
561,P6950,A002,C003,3,2024-12-31
562,P2584,A005,C003,5,2024-12-31
563,P9556,A002,C006,2,2024-12-31
564,P10209,A003,C002,5,2024-12-31
565,P7326,A003,C005,2,2024-12-31
566,P1262,A004,C010,2,2024-12-31
567,P7945,A005,C003,5,2024-12-31
568,P6170,A001,C008,2,2024-12-31
569,P4913,A004,C004,1,2024-12-31
570,P3858,A002,C002,5,2024-12-31
571,P8395,A001,C005,2,2024-12-31
572,P8449,A001,C007,1,2024-12-31
573,P3281,A001,C004,1,2024-12-31
574,P7202,A002,C008,2,2024-12-31
575,P5637,A002,C006,4,2024-12-31
576,P1913,A004,C003,5,2024-12-31
577,P8302,A001,C010,1,2024-12-31
578,P10048,A005,C005,3,2024-12-31
579,P9437,A001,C007,4,2024-12-31
580,P5703,A002,C007,3,2024-12-31
581,P5652,A002,C008,5,2024-12-31
582,P3282,A001,C006,1,2024-12-31
583,P10031,A002,C005,1,2024-12-31
584,P9004,A005,C004,2,2024-12-31
585,P4398,A002,C001,2,2024-12-31
586,P10828,A003,C009,3,2024-12-31
587,P5129,A005,C002,5,2024-12-31
588,P8093,A005,C008,2,2024-12-31
589,P10064,A003,C001,4,2024-12-31
590,P6715,A001,C001,5,2024-12-31
591,P6214,A004,C002,3,2024-12-31
592,P9363,A005,C010,2,2024-12-31
593,P3473,A004,C003,3,2024-12-31
594,P9845,A002,C007,5,2024-12-31
595,P6315,A001,C009,4,2024-12-31
596,P10145,A005,C004,5,2024-12-31
597,P6616,A002,C005,1,2024-12-31
598,P1450,A005,C008,2,2024-12-31
599,P10939,A005,C010,3,2024-12-31
600,P10426,A001,C005,3,2024-12-31
601,P6827,A001,C005,5,2024-12-31
602,P7294,A004,C003,3,2024-12-31
603,P4378,A004,C003,5,2024-12-31
604,P4498,A004,C005,4,2024-12-31
605,P4610,A004,C009,4,2024-12-31
606,P5323,A001,C005,2,2024-12-31
607,P9998,A003,C002,4,2024-12-31
608,P6857,A002,C003,5,2024-12-31
609,P1142,A003,C004,3,2024-12-31
610,P8607,A001,C007,2,2024-12-31
611,P8684,A005,C009,4,2024-12-31
612,P4643,A001,C005,4,2024-12-31
613,P10011,A002,C007,4,2024-12-31
614,P5343,A002,C010,4,2024-12-31
615,P5943,A001,C007,2,2024-12-31
616,P1971,A003,C008,5,2024-12-31
617,P1119,A005,C009,4,2024-12-31
618,P6331,A003,C001,2,2024-12-31
619,P10056,A003,C001,3,2024-12-31
620,P6000,A002,C003,1,2024-12-31
621,P9264,A005,C005,2,2024-12-31
622,P6298,A001,C003,4,2024-12-31
623,P8614,A001,C002,5,2024-12-31
624,P8944,A003,C005,4,2024-12-31
625,P10706,A003,C001,4,2024-12-31
626,P10762,A004,C001,4,2024-12-31
627,P1138,A002,C010,3,2024-12-31
628,P9588,A001,C006,3,2024-12-31
629,P8079,A001,C005,2,2024-12-31
630,P6066,A001,C009,3,2024-12-31
631,P7490,A003,C003,4,2024-12-31
632,P3032,A001,C007,3,2024-12-31
633,P1051,A002,C001,2,2024-12-31
634,P6484,A005,C003,5,2024-12-31
635,P8596,A002,C003,4,2024-12-31
636,P9868,A004,C002,4,2024-12-31
637,P8553,A002,C003,5,2024-12-31
638,P10069,A002,C004,2,2024-12-31
639,P4516,A002,C007,4,2024-12-31
640,P10164,A003,C005,2,2024-12-31
641,P8500,A003,C003,5,2024-12-31
642,P6011,A004,C001,5,2024-12-31
643,P5471,A005,C009,1,2024-12-31
644,P2970,A003,C005,2,2024-12-31
645,P8945,A004,C009,1,2024-12-31
646,P5993,A001,C003,4,2024-12-31
647,P3153,A003,C003,3,2024-12-31
648,P4023,A004,C007,5,2024-12-31
649,P2121,A003,C010,5,2024-12-31
650,P5704,A002,C004,4,2024-12-31
651,P9900,A002,C001,1,2024-12-31
652,P7926,A001,C008,2,2024-12-31
653,P9454,A001,C002,2,2024-12-31
654,P7847,A005,C001,1,2024-12-31
655,P9612,A001,C003,3,2024-12-31
656,P1478,A001,C009,4,2024-12-31
657,P3593,A004,C008,1,2024-12-31
658,P3141,A003,C002,1,2024-12-31
659,P3304,A001,C007,5,2024-12-31
660,P5694,A001,C008,3,2024-12-31
661,P3004,A001,C003,3,2024-12-31
662,P4353,A001,C009,3,2024-12-31
663,P10903,A005,C008,2,2024-12-31
